RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km,Percent_overlap,binomial_overlap
FMNH_62918,Manis culionensis,1947,Asia,Philippines,75,EN,Arboreal,0,0,1940,0.5,100,1
AMNH_M-242095,Manis culionensis,,Asia,Philippines,75,EN,Arboreal,1,0,,0.5,100,1
FMNH_62919,Manis culionensis,1947,Asia,Philippines,75,EN,Arboreal,0,0,1940,0.9,0,0
FMNH_62917,Manis culionensis,1947,Asia,Philippines,75,EN,Arboreal,0,0,1940,0.9,100,1
FMNH_62920,Manis culionensis,1947,Asia,Philippines,75,EN,Arboreal,1,1,1940,0.9,0,0
KU_165510,Manis culionensis,1999,Asia,Philippines,75,EN,Arboreal,0,0,1990,1.126,100,1
MCZ_35536,Manis culionensis,1937,Asia,Philippines,75,EN,Arboreal,0,0,1930,3.036,69.25559618,1
MCZ_35535,Manis culionensis,1937,Asia,Philippines,75,EN,Arboreal,1,1,1930,3.036,69.25559618,1
FMNH_62921,Manis culionensis,1947,Asia,Philippines,75,EN,Arboreal,0,0,1940,24.81,77.59895843,1
AMNH_M-29745,Manis culionensis,,Asia,Philippines,25,EN,Arboreal,0,0,,1,100,1
AMNH_M-203298,Manis culionensis,1962,Asia,Philippines,75,EN,Arboreal,0,0,1960,247.57,10.81998757,1
NHMUK_69.506,Smutsia temminckii,,Africa,Uganda,100,VU,Terrestrial,0,0,,3.95,100,1
NHMUK_1.4.27.12,Smutsia temminckii,1901,Africa,Malawi,75,VU,Terrestrial,0,0,1900,442.75,100,1
NHMUK_1.5.3.4,Smutsia temminckii,,Africa,Zambia,50,VU,Terrestrial,0,0,,81.95,100,1
NHMUK_25.1.2.262,Smutsia temminckii,1923,Africa,Namibia,50,VU,Terrestrial,0,0,1920,4.66,0,0
NHMUK_25.1.2.263,Smutsia temminckii,,Africa,Namibia,100,VU,Terrestrial,0,0,,255.89,11.97329336,1
NHMUK_25.5.9.1,Smutsia temminckii,,Africa,Angola,100,VU,Terrestrial,0,0,,897.67,31.38002937,1
NHMUK_28.9.11.465,Smutsia temminckii,1927,Africa,Namibia,25,VU,Terrestrial,0,0,1920,0.182,0,0
NHMUK_34.7.4.1,Smutsia temminckii,,Africa,South Sudan,25,VU,Terrestrial,0,0,,3.63,100,1
NHMUK_34.7.4.2,Smutsia temminckii,,Africa,South Sudan,25,VU,Terrestrial,1,1,,3.63,100,1
NHMUK_35.9.1.847,Smutsia temminckii,1929,Africa,Namibia,25,VU,Terrestrial,0,0,1920,0.396,100,1
NHMUK_35.9.1.848,Smutsia temminckii,1929,Africa,Namibia,50,VU,Terrestrial,0,0,1920,210.08,100,1
NHMUK_37.9.1.847,Smutsia temminckii,,Africa,Namibia,25,VU,Terrestrial,1,0,,0.396,100,1
NHMUK_52.3.24.2,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,0,0,,1184.88,18.7705701,1
NHMUK_90.6.8.35,Smutsia temminckii,,Africa,Tanzania,25,VU,Terrestrial,0,0,,73.15,100,1
NHMUK_92.8.1.67,Smutsia temminckii,,Africa,Mozambique,50,VU,Terrestrial,0,0,,301.44,100,1
NHMUK_93.7.9.18,Smutsia temminckii,,Africa,Malawi,75,VU,Terrestrial,0,0,,11.44,100,1
NHMUK_96.1.10.1,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,1,1,,1184.88,18.7705701,1
NHMUK_97.3.11.1,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,1,1,,1184.88,18.7705701,1
RBINS_302,Smutsia temminckii,,Africa,South Africa,75,VU,Terrestrial,0,0,,120,0,0
RBINS_302B,Smutsia temminckii,,Africa,South Africa,75,VU,Terrestrial,1,1,,120,0,0
AWMM_LM212,Smutsia temminckii,,Africa,Namibia,100,VU,Terrestrial,0,0,,736.75,60.8687565,1
AMNH_M-90095,Smutsia temminckii,,Africa,Angola,100,VU,Terrestrial,1,1,,879.68,31.21025341,1
O_18154,Smutsia temminckii,,Africa,South Africa,50,VU,Terrestrial,1,1,,1184.88,18.7705701,1
TM_17137,Smutsia temminckii,1970,Africa,Namibia,25,VU,Terrestrial,0,0,1970,1,100,1
MNHN_MO-1948-501,Smutsia temminckii,,Africa,Central African Republic,25,VU,Terrestrial,0,0,,1.8,0,0
USNM_256926,Smutsia temminckii,1928,Africa,Namibia,50,VU,Terrestrial,0,0,1920,2.81,100,1
USNM_368617,Smutsia temminckii,1964,Africa,Zimbabwe,75,VU,Terrestrial,0,0,1960,6.54,100,1
IICT_CZ000001554,Smutsia temminckii,1955,Africa,Mozambique,75,VU,Terrestrial,0,0,1950,8.44,100,1
HSU_3201,Smutsia temminckii,,Africa,South Africa,75,VU,Terrestrial,0,0,,50.68,0,0
MHNG_MHNG-MAM-1492.037,Smutsia temminckii,,Africa,Angola,75,VU,Terrestrial,0,0,,129.21,100,1
DMNS_DMNS:Mamm:6180,Smutsia temminckii,1969,Africa,Botswana,25,VU,Terrestrial,0,0,1960,193.121,100,1
UMZC_E.1275,Smutsia temminckii,1970,Africa,Zambia,75,VU,Terrestrial,0,0,1970,5.825,100,1
MCZ_5957,Smutsia temminckii,1700,Africa,Namibia,100,VU,Terrestrial,1,0,1700,950.45,59.33264815,1
