WKT,RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km,numberOfSpecimens,numberOfOverlaps,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,secdf_1850,secdf_1900,secdf_1950,secdf_2000,secdn_1850,secdn_1900,secdn_1950,secdn_2000,pastr_1850,pastr_1900,pastr_1950,pastr_2000,range_1850,range_1900,range_1950,range_2000,urban_1850,urban_1900,urban_1950,urban_2000
"POLYGON ((9.31700839503895 5.46964395342792,9.31713471786284 5.46873575069746,9.3172134099934 5.46782216679424,9.31724425594772 5.4669057097451,9.31722717179961 5.46598889542016,9.31716220540282 5.46507424059387,9.31704953624854 5.46416425600458,9.31688947495795 5.46326143943185,9.31668246241092 5.46236826881098,9.31642906851394 5.46148719540415,9.31612999061068 5.46062063704729,9.31578605153967 5.45977097149136,9.3153981973453 5.45894052985695,9.31496749464807 5.45813159022021,9.31449512768243 5.45734637134809,9.31398239501012 5.45658702660015,9.31343070591882 5.45585563801407,9.3128415765165 5.45515421059094,9.31221662553232 5.45448466679625,9.31155756983638 5.4538488412917,9.31086621969087 5.45324847591206,9.31014447374625 5.45268521490109,9.30939431379665 5.4521606004192,9.30861779930897 5.45167606833513,9.30781706174164 5.45123294431297,9.30699429866872 5.45083244020499,9.3061517677256 5.45047565075983,9.30529178039369 5.45016355065486,9.30441669564122 5.44989699186035,9.30352891343757 5.44967670134232,9.30263086815967 5.44950327911009,9.30172502190834 5.44937719661317,9.30081385775295 5.44929879549172,9.29989987292337 5.4492682866833,9.29898557196738 5.44928574988802,9.29807345989293 5.4493511333931,9.29716603531316 5.4494642542567,9.29626578361354 5.44962479885021,9.29537517015945 5.44983232375704,9.29449663356233 5.45008625702489,9.29363257902313 5.45038589976786,9.29278537177046 5.45073042811349,9.29195733061157 5.45111889548907,9.29115072161302 5.45155023524072,9.29036775192837 5.4520232635777,9.2896105637891 5.45253668283371,9.28888122867476 5.45308908503605,9.28818174167842 5.45367895577268,9.28751401608131 5.45430467834663,9.28687987815234 5.4549645382061,9.28628106218514 5.45565672763836,9.28571920578663 5.45637935071448,9.28519584542898 5.45713042847157,9.28471241227689 5.45790790431841,9.28427022830146 5.45870964964976,9.28387050269041 5.45953346965452,9.28351432856466 5.46037710930173,9.28320268000943 5.46123825948861,9.28293640942803 5.46211456333399,9.28271624522529 5.46300362260035,9.28254278982662 5.46390300422728,9.28241651803805 5.46481024695878,9.28233777575169 5.46572286804689,9.28230677900002 5.46663837001356,9.28232361336134 5.4675542474528,9.28238823371869 5.46846799385483,9.28250046437211 5.4693771084342,9.28265999950476 5.47027910294337,9.28286640400144 5.47117150845373,9.28311911461758 5.47205188208581,9.2834174414957 5.47291781367057,9.28376057002564 5.47376693232408,9.28414756304348 5.47459691291773,9.28457736336395 5.47540548242663,9.2850487966392 5.47619042613905,9.28556057453726 5.4769495937101,9.28611129823109 5.47768090504331,9.28669946218983 5.478382355984,9.28732345826192 5.47905202380897,9.28798158003951 5.47968807249768,9.28867202749258 5.48028875777006,9.28939291186076 5.48085243187756,9.29014226078955 5.48137754813379,9.29091802369776 5.48186266517248,9.29171807736139 5.48230645092064,9.29254023169944 5.48270768627601,9.29338223574587 5.48306526847822,9.2942417837921 5.48337821416432,9.29511652168282 5.48364566209966,9.29600405324891 5.48386687557661,9.2969019468595 5.48404124447372,9.2978077420755 5.48416828696962,9.29871895638662 5.4842476509062,9.29963309201354 5.4842791147971,9.30054764275629 5.48426258847812,9.30146010087017 5.48419811339733,9.30236796395083 5.48408586254368,9.30326874180843 5.48392614001376,9.30415996331293 5.48371938021747,9.30503918319094 5.48346614672439,9.30590398875536 5.48316713075355,9.30675200654914 5.48282314931036,9.30758090888467 5.48243514297555,9.30838842026004 5.48200417335173,9.30917232363514 5.48153142017446,9.30993046654878 5.48101817809533,9.31066076706061 5.48046585314585,9.31136121950059 5.47987595889165,9.3120299000098 5.47925011228738,9.31266497185715 5.47859002924374,9.3132646905168 5.47789751991871,9.31382740849171 5.47717448374603,9.31435157987015 5.47642290421455,9.31483576460167 5.47564484341308,9.31527863248075 5.4748424363557,9.3156789668266 5.47401788510353,9.31603566784895 5.47317345269925,9.31634775568977 5.47231145693123,9.31661437313285 5.47143426394501,9.31683478797305 5.47054428171972,9.31700839503895 5.46964395342792))",NHMUK_39.2647,Phataginus tetradactyla,,Africa,Cameroon,50,VU,Arboreal,"0","0",,3.82,"13","0",-0.0657017230987549,-0.0633024573326111,-0.0541667938232422,-0.0541667938232422,0,0,0,0,0.0720237866044044,0.0673336684703827,0.0585789233446121,0.0585789233446121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLYGON ((-0.976536716142758 5.91868798686476,-0.976440387951068 5.9183290009437,-0.976362961836204 5.91796545807096,-0.976304650099798 5.91759835572669,-0.976265612543069 5.9172287011521,-0.976245956028939 5.91685750857732,-0.976245734190835 5.91648579643012,-0.976264947288227 5.91611458453339,-0.976303542209743 5.91574489129904,-0.97636141262373 5.91537773092623,-0.976438399275679 5.91501411061172,-0.976534290431638 5.91465502778008,-0.976648822466498 5.91430146734135,-0.976781680595278 5.91395439898398,-0.976932499745324 5.91361477451037,-0.97710086556704 5.91328352522237,-0.977286315580178 5.91296155936417,-0.977488340452355 5.91264975962943,-0.977706385406515 5.91234898073956,-0.977939851752768 5.91206004709997,-0.978188098540874 5.91178375054045,-0.978450444328444 5.91152084814617,-0.978726169059715 5.91127206018501,-0.979014516050083 5.91103806813697,-0.979314694070375 5.91081951283097,-0.979625879525333 5.91061699269424,-0.979947218720088 5.91043106211874,-0.980277830208348 5.91026222994941,-0.980616807215906 5.91011095809789,-0.980963220132366 5.90997766028582,-0.981316119064703 5.90986270092066,-0.981674536445208 5.9097663941074,-0.982037489686688 5.90968900279844,-0.9824039838779 5.90963073808399,-0.982773014511205 5.90959175862486,-0.983143570235784 5.90957217022892,-0.983514635628005 5.9095720255724,-0.983885193971987 5.90959132406667,-0.984254230042629 5.90963001187055,-0.984620732883206 5.90968798204831,-0.9849836985704 5.90976507487258,-0.985342132959087 5.90986107827124,-0.98569505439923 5.90997572841712,-0.986041496417905 5.91010871045867,-0.986380510358853 5.91025965938956,-0.986711167972713 5.91042816105471,-0.987032563950622 5.91061375329001,-0.987343818394713 5.91081592719251,-0.987644079218621 5.91103412851756,-0.987932524471526 5.91126775919904,-0.988208364579747 5.91151617898851,-0.988470844499449 5.91177870720881,-0.988719245775188 5.91205462461731,-0.988952888498261 5.91234317537367,-0.989171133160035 5.91264356910685,-0.989373382395039 5.91295498307569,-0.989559082609222 5.91327656441722,-0.989727725489081 5.91360743247665,-0.989878849387372 5.91394668121262,-0.990012040582108 5.91429338167137,-0.990126934405024 5.91464658452308,-0.990223216236746 5.9150053226534,-0.990300622365856 5.91536861380351,-0.990358940709686 5.91573546325117,-0.990398011394666 5.91610486652598,-0.990417727194856 5.91647581215109,-0.990418033827312 5.91684728440435,-0.99039893010356 5.91721826609122,-0.990360467936602 5.91758774132202,-0.990302752203638 5.91795469828606,-0.990225940464449 5.91831813201518,-0.990130242536601 5.91867704712909,-0.990015919928163 5.91903046055529,-0.989883285129587 5.91937740421602,-0.989732700766713 5.9197169276751,-0.989564578616693 5.92004810073741,-0.989379378490118 5.92037001599389,-0.989177606981513 5.92068179130531,-0.988959816092071 5.92098257221783,-0.988726601728074 5.92127153430388,-0.988478602078977 5.92154788542201,-0.988216495879513 5.92181086788929,-0.987941000560404 5.92205976056054,-0.987652870292816 5.92229388080855,-0.987352893931446 5.92251258639979,-0.987041892862135 5.9227152772605,-0.986720718759567 5.92290139712822,-0.986390251261278 5.92307043508408,-0.986051395563891 5.92322192696179,-0.985705079948652 5.92335545662909,-0.98535225324259 5.92347065713824,-0.984993882222079 5.92356721174223,-0.98463094896634 5.92364485477382,-0.984264448167716 5.92370337238487,-0.983895384406174 5.92374260314378,-0.983524769395521 5.9237624384894,-0.983153619208949 5.92376282303984,-0.982782951491339 5.92374375475544,-0.98241378266614 5.92370528495512,-0.982047125144565 5.92364751818612,-0.981683984544585 5.92357061194724,-0.9813253569278 5.92347477626632,-0.980972226061235 5.92336027313298,-0.980625560712344 5.92322741578807,-0.980286311984236 5.92307656787172,-0.979955410698668 5.92290814243227,-0.979633764834207 5.92272260079869,-0.97932225702652 5.92252045131952,-0.979021742137906 5.92230224797182,-0.978733044902745 5.92206858884388,-0.97845695765549 5.92182011449581,-0.978194238147682 5.92155750620251,-0.977945607459768 5.92128148408391,-0.977711748013928 5.92099280512759,-0.977493301693219 5.92069226110916,-0.977290868072567 5.92038067641635,-0.977105002766185 5.92005890578259,-0.976936215896369 5.91972783193663,-0.976784970687919 5.91938836317446,-0.976651682191949 5.91904143086047,-0.976536716142758 5.91868798686476))",NHMUK_46.498,Phataginus tetradactyla,"1945",Africa,Ghana,75,VU,Arboreal,"0","0","1940",2.25,"13","0",0,0,0,0,-0.137473791837692,-0.121705397963524,-0.0850695818662643,-0.0850695818662643,0,0,0,0,-0.365415140986443,-0.360416695475578,-0.239152953028679,-0.239152953028679,0.180790349841118,0.168452560901642,0.0784375667572021,0.0784375667572021,0,-7.08904179802516e-09,-3.62163810052607e-09,-3.62163810052607e-09,0.0230820812284946,0.0209642518311739,0.0172397401183844,0.0172397401183844
"POLYGON ((5.39442409380347 6.84010440359002,5.39605706742744 6.83263620957887,5.39729468703192 6.8250926204659,5.39813355477993 6.81749463354313,5.39857139976243 6.8098633949826,5.39860708390163 6.80222013834059,5.39824060437756 6.79458612286483,5.39747309257876 6.78698257181261,5.39630680959238 6.77943061098672,5.39474513826162 6.77195120769414,5.39279257185212 6.7645651103296,5.39045469938131 6.75729278878209,5.38773818767757 6.75015437585772,5.38465076024721 6.74316960990667,5.38120117303978 6.73635777883549,5.37739918721151 6.72973766567875,5.373255538998 6.72332749589622,5.36878190681617 6.71714488655318,5.3639908757238 6.71120679753216,5.35889589937313 6.70552948491499,5.35351125960248 6.70012845666404,5.34785202381474 6.69501843072075,5.34193400029844 6.69021329562937,5.33577369165052 6.68572607378248,5.32938824646407 6.68156888737428,5.32279540944709 6.67775292713609,5.31601347014021 6.67428842391795,5.30906121040264 6.6711846231689,5.30195785083594 6.66844976235762,5.29472299631496 6.66609105136489,5.28737658079463 6.66411465586855,5.27993881155874 6.66252568373183,5.27243011307561 6.66132817439598,5.26487107062225 6.66052509126931,5.25728237383496 6.66011831709518,5.24968476034124 6.66010865227387,5.24209895962288 6.66049581610454,5.23454563725628 6.66127845090686,5.22704533967053 6.66245412897436,5.21961843955914 6.6640193623055,5.21228508207576 6.66596961505268,5.20506513193887 6.66829931862364,5.19797812156492 6.67100188936547,5.1910432003438 6.6740697487566,5.18427908516479 6.67749434602864,5.17770401229591 6.68126618313616,5.17133569071393 6.68537484199008,5.16519125697689 6.68980901386698,5.15928723172579 6.69455653090527,5.15363947789732 6.69960439959646,5.1482631607241 6.70493883617883,5.14317270959472 6.71054530383907,5.13838178184086 6.71640855162643,5.13390322851513 6.72251265498311,5.12974906221848 6.72884105779365,5.12593042703266 6.73537661585559,5.12245757060915 6.74210164167289,5.11933981846318 6.74899795047335,5.11658555051689 6.7560469073503,5.11420217993382 6.76322947542879,5.11219613428306 6.77052626495549,5.11057283906856 6.77791758321122,5.10933670365642 6.78538348514413,5.10849110962995 6.79290382462079,5.10803840159956 6.80045830619153,5.10797988049154 6.80802653726558,5.10831579933717 6.81558808058997,5.10904536158041 6.82312250692563,5.11016672191906 6.83060944781199,5.11167698969198 6.83802864831089,5.11357223482012 6.84536001961825,5.11584749630695 6.85258369143113,5.11849679329862 6.85968006395587,5.12151313870148 6.86662985944149,5.12488855534888 6.87341417312121,5.12861409470533 6.88001452344316,5.132679858091 6.88641290147026,5.13707502040364 6.89259181932782,5.14178785631038 6.89853435757644,5.14680576887487 6.90422421138684,5.15211532057995 6.90964573539291,5.15770226669855 6.91478398709844,5.16355159095966 6.9196247687137,5.16964754344801 6.92415466729795,5.17597368066993 6.92836109308499,5.18251290770946 6.93223231587031,5.18924752239114 6.93575749933989,5.19615926135881 6.93892673322343,5.20322934797067 6.94173106315733,5.21043854190403 6.94416251814653,5.21776719035415 6.94621413551834,5.2251952807048 6.947879983266,5.23270249453927 6.9491551796853,5.24026826285416 6.9500359102136,5.24787182233005 6.95051944138706,5.25549227250663 6.95060413183954,5.2631086337033 6.95028944027429,5.2706999055199 6.94957593034848,5.27824512574702 6.94846527241936,5.28572342950935 6.94696024211095,5.29311410846257 6.9450647156702,5.3003966698591 6.94278366209241,5.30755089529591 6.94012313200677,5.31455689895507 6.93709024332439,5.32139518514652 6.93369316366332,5.3280467049617 6.92994108957665,5.33449291184729 6.92584422262264,5.34071581590983 6.9214137423278,5.34669803676352 6.91666177610643,5.35242285473744 6.91160136621244,5.35787426026218 6.90624643381177,5.36303700126083 6.90061174027522,5.36789662837545 6.89471284580403,5.37243953786712 6.88856606551114,5.37665301203519 6.88218842309271,5.38052525700999 6.87559760223441,5.38404543778303 6.86881189590711,5.38720371034813 6.86185015371561,5.3899912508387 6.85473172747271,5.39240028155698 6.84747641517824,5.39442409380347 6.84010440359002))",NHMUK_50.341,Phataginus tetradactyla,"1939",Africa,Nigeria,50,VU,Arboreal,"0","0","1930",35.71,"13","0",-0.24808694422245,-0.199324384331703,-0.0996680743992329,-0.0996680743992329,0,0,0,0,0.159938469529152,0.104640960693359,0.099574863910675,0.099574863910675,0,0,0,0,0.00900540128350258,0.0453592129051685,0.02712806686759,0.02712806686759,0.00727429986000061,-0.020478555932641,-0.0654141250997782,-0.0654141250997782,0,0,0,0
"POLYGON ((6.31678968954211 5.08335463673565,6.31679065070447 5.0833481684769,6.31679127294632 5.08334165864209,6.31679155456212 5.08333512507444,6.31679149478003 5.08332858568224,6.31679109376399 5.08332205838972,6.31679035261319 5.08331556108798,6.31678927335918 5.08330911158585,6.31678785896027 5.08330272756118,6.31678611329334 5.08329642651232,6.31678404114332 5.08329022571017,6.31678164819 5.08328414215086,6.31677894099248 5.08327819250912,6.31677592697122 5.08327239309263,6.31677261438763 5.08326675979727,6.3167690123215 5.08326130806358,6.3167651306461 5.08325605283443,6.31676098000102 5.08325100851406,6.31675657176315 5.0832461889286,6.31675191801534 5.08324160728816,6.3167470315135 5.08323727615067,6.31674192565131 5.08323320738738,6.31673661442384 5.08322941215041,6.316731112389 5.08322590084212,6.31672543462762 5.08322268308661,6.31671959670226 5.0832197677034,6.3167136146144 5.08321716268315,6.31670750476066 5.08321487516587,6.31670128388782 5.08321291142128,6.31669496904695 5.08321127683166,6.31668857754665 5.08320997587709,6.31668212690563 5.08320901212317,6.31667563480466 5.08320838821126,6.31666911903813 5.08320810585122,6.31666259746527 5.08320816581676,6.31665608796119 5.08320856794328,6.31664960836793 5.08320931112839,6.31664317644549 5.08321039333484,6.31663680982321 5.0832118115962,6.31663052595143 5.08321356202491,6.31662434205361 5.08321563982302,6.31661827507925 5.08321803929525,6.31661234165727 5.08322075386471,6.31660655805064 5.08322377609083,6.31660094011152 5.08322709768981,6.31659550323812 5.0832307095573,6.3165902623323 5.08323460179339,6.3165852317588 5.0832387637297,6.31658042530582 5.08324318395866,6.31657585614733 5.08324785036477,6.31657153680678 5.08325275015775,6.31656747912302 5.08325786990771,6.31656369421768 5.08326319558187,6.31656019246471 5.08326871258302,6.31655698346198 5.0832744057896,6.31655407600498 5.08328025959706,6.31655147806272 5.08328625796072,6.31654919675583 5.08329238443965,6.31654723833715 5.08329862224181,6.31654560817442 5.08330495427001,6.31654431073578 5.08331136316883,6.31654334957735 5.08331783137215,6.31654272733362 5.0833243411513,6.3165424457101 5.08333087466365,6.31654250547874 5.08333741400153,6.31654290647577 5.08334394124129,6.31654364760216 5.08335043849244,6.31654472682664 5.08335688794667,6.31654614119124 5.08336327192667,6.31654788681945 5.08336957293459,6.31654995892677 5.08337577369996,6.31655235183387 5.08338185722707,6.31655505898213 5.08338780684152,6.31655807295169 5.08339360623595,6.31656138548165 5.08339923951471,6.31656498749284 5.08340469123745,6.31656886911259 5.08340994646142,6.31657301970191 5.08341499078242,6.31657742788453 5.08341981037434,6.31658208157817 5.08342439202697,6.3165869680276 5.08342872318228,6.3165920738396 5.08343279196879,6.31659738501972 5.08343658723414,6.31660288701057 5.08344009857568,6.31660856473177 5.08344331636891,6.31661440262121 5.08344623179392,6.31662038467784 5.08344883685958,6.31662649450534 5.08345112442539,6.31663271535723 5.0834530882211,6.31663903018267 5.08345472286386,6.31664542167321 5.08345602387301,6.31665187231029 5.08345698768237,6.31665836441315 5.08345761164995,6.31666488018742 5.08345789406529,6.31667140177372 5.08345783415408,6.31667791129683 5.0834574320803,6.31668439091449 5.08345668894579,6.31669082286644 5.08345560678723,6.31669718952304 5.08345418857054,6.31670347343353 5.08345243818277,6.31670965737407 5.08345036042144,6.31671572439464 5.08344796098141,6.31672165786585 5.08344524643924,6.31672744152422 5.08344222423518,6.31673305951695 5.0834389026528,6.31673849644528 5.08343529079626,6.31674373740675 5.08343139856536,6.31674876803604 5.08342723662841,6.31675357454425 5.08342281639299,6.31675814375692 5.08341814997469,6.31676246314989 5.08341325016389,6.31676652088383 5.08340813039071,6.31677030583652 5.08340280468817,6.31677380763349 5.08339728765378,6.3167770166764 5.08339159440948,6.31677992416929 5.08338574056021,6.31678252214279 5.08337974215114,6.31678480347592 5.08337361562368,6.31678676191558 5.08336737777041,6.31678839209373 5.08336104568906,6.31678968954211 5.08335463673565))",NHMUK_1995.25,Phataginus tetradactyla,"1994",Africa,Nigeria,75,VU,Arboreal,"0","0","1990",0.03,"13","0",0,0,0,0,0,0,0,0,0.199012994766235,0.127613842487335,0.0873318314552307,0.0873318314552307,0,0,0,0,0.00251798331737518,0.00563166290521622,-0.0114907622337341,-0.0114907622337341,3.37253814200087e-26,3.37253814200087e-26,-1.03458741573803e-09,-1.03458741573803e-09,0.00920884404331446,0.00920884404331446,0.00920884404331446,0.00920884404331446
"POLYGON ((6.31031561657242 5.18054639158862,6.31042209185469 5.1798457448977,6.31049182915287 5.17914047089398,6.31052463740706 5.17843250536975,6.31052042705811 5.17772379147737,6.31047921028916 5.17701627437403,6.31040110098509 5.17631189586142,6.31028631441045 5.17561258903551,6.31013516660656 5.17492027296126,6.30994807350963 5.17423684738724,6.30972554979264 5.17356418751491,6.3094682074343 5.17290413883714,6.30917675401898 5.1722585120603,6.308851990773 5.17162907812422,6.30849481034233 5.17101756333364,6.30810619431874 5.17042564461487,6.30768721052098 5.16985494491055,6.3072390100388 5.16930702872548,6.3067628240486 5.16878339783561,6.30625996040935 5.16828548717204,6.30573180004857 5.16781466089136,6.30517979314873 5.16737220864295,6.30460545514466 5.16695934204354,6.30401036254323 5.16657719136842,6.30339614857734 5.16622680246846,6.30276449870601 5.16590913392096,6.30211714597333 5.1656250544222,6.3014558662393 5.1653753404284,6.30078247329596 5.16516067405154,6.30009881388183 5.16498164121528,6.29940676260902 5.16483873007601,6.29870821681697 5.16473232971286,6.29800509136669 5.16466272909016,6.29729931339019 5.16463011629459,6.29659281700927 5.1646345780491,6.29588753803828 5.16467609950442,6.2951854086852 5.16475456430841,6.29448835226569 5.16486975495291,6.29379827794418 5.1650213533966,6.2931170755166 5.16520894196207,6.2924466102486 5.16543200450424,6.29178871778348 5.16568992784674,6.29114519913323 5.16598200348206,6.29051781576659 5.16630742953052,6.28990828480682 5.16666531295266,6.28931827435264 5.1670546720087,6.28874939893417 5.16747443895818,6.28820321511681 5.16792346299247,6.28768121726408 5.16840051339185,6.28718483347107 5.16890428289849,6.28671542167944 5.16943339129629,6.2862742659839 5.16998638918754,6.28586257314028 5.17056176195629,6.28548146928452 5.17115793390765,6.28513199687088 5.17177327257168,6.28481511183809 5.17240609316044,6.28453168101031 5.17305466316603,6.28428247974024 5.17371720708725,6.28406818980055 5.17439191127221,6.28388939752905 5.17507692886387,6.2837465922327 5.17577038483518,6.28364016485467 5.17647038110042,6.28357040690809 5.1771750016889,6.28353750967908 5.1778823179673,6.28354156370161 5.17859039389652,6.28358255850529 5.17929729130903,6.28366038263712 5.18000107519261,6.28377482395695 5.18069981896616,6.28392557020622 5.18139160973364,6.28411220984814 5.18207455350185,6.28433423317793 5.1827467803481,6.28459103369921 5.18340644952385,6.28488190976409 5.18405175448062,6.28520606647184 5.18468092780452,6.28556261782183 5.18529224604612,6.28595058911462 5.18588403443255,6.28636891959529 5.18645467144911,6.28681646533198 5.18700259327783,6.28729200232176 5.18752629808093,6.2877942298163 5.18802435011748,6.2883217738578 5.188495383682,6.28887319101629 5.18893810685405,6.28944697231831 5.18935130504862,6.29004154735627 5.18973384435737,6.29065528856787 5.19008467467151,6.29128651567366 5.19040283257749,6.29193350026149 5.19068744401753,6.29259447050474 5.19093772670733,6.29326761600231 5.19115299230418,6.29395109272672 5.19133264831924,6.29464302806743 5.19147619976844,6.29534152595519 5.19158325055725,6.29604467205384 5.19165350459518,6.29675053900515 5.19168676663659,6.29745719171248 5.19168294284524,6.29816269264874 5.19164204108076,6.29886510717404 5.19156417090581,6.29956250884833 5.19144954331369,6.30025298472451 5.19129847017678,6.30093464060711 5.19111136341713,6.30160560626232 5.19088873390105,6.30226404056452 5.19063119006058,6.30290813656523 5.19033943624534,6.30353612647014 5.19001427080907,6.30414628651061 5.18965658393591,6.30473694169563 5.18926735521223,6.30530647043121 5.18884765095051,6.30585330899408 5.18839862127257,6.30637595584726 5.18792149695997,6.30687297578499 5.18741758608034,6.3073430038959 5.1868882703987,6.3077847493328 5.1863350015838,6.30819699887848 5.18575929721988,6.30857862029769 5.18516273663487,6.3089285654656 5.18454695655666,6.30924587326391 5.1839136466094,6.30952967223655 5.18326454466252,6.30977918299733 5.18260143204528,6.30999372038277 5.18192612864031,6.31017269534399 5.18124048786986,6.31031561657242 5.18054639158862))",NHMUK_1998.301,Phataginus tetradactyla,"1994",Africa,Nigeria,50,VU,Arboreal,"0","0","1990",3.25,"13","0",0,0,0,0,0,0,0,0,0.199012994766235,0.127613842487335,0.0873318314552307,0.0873318314552307,0,0,0,0,0.00251798331737518,0.00563166290521622,-0.0114907622337341,-0.0114907622337341,3.37253814200087e-26,3.37253814200087e-26,-1.03458741573803e-09,-1.03458741573803e-09,0.00920884404331446,0.00920884404331446,0.00920884404331446,0.00920884404331446
"POLYGON ((-4.13001819072966 5.34200655619633,-4.12996356145388 5.34182443042266,-4.12991851890357 5.34163968822852,-4.1298831865732 5.34145283630689,-4.12985766130764 5.34126438713572,-4.12984201303666 5.34107485756974,-4.12983628458369 5.34088476742013,-4.12984049154909 5.34069463802629,-4.12985462226862 5.3405049908233,-4.12987863784672 5.34031634590951,-4.12991247226506 5.34012922061773,-4.12995603256552 5.33994412809433,-4.13000919910746 5.33976157589001,-4.13007182589828 5.3395820645662,-4.1301437409965 5.33940608632083,-4.13022474698622 5.33923412363742,-4.13031462152149 5.3390666479611,-4.1304131179392 5.33890411840523,-4.13051996593871 5.33874698049218,-4.1306348723263 5.33859566493176,-4.13075752182246 5.33845058644063,-4.13088757792968 5.33831214260585,-4.1310246838582 5.33818071279587,-4.13116846350751 5.33805665712172,-4.1313185225005 5.33794031545144,-4.13147444926752 5.33783200648022,-4.13163581617748 5.33773202685899,-4.1318021807126 5.33764065038369,-4.13197308668378 5.33755812724742,-4.13214806548311 5.33748468335764,-4.13232663737013 5.33742051971999,-4.13250831278827 5.33736581189068,-4.13269259370775 5.3373207094987,-4.13287897499148 5.33728533583921,-4.13306694578 5.33725978753919,-4.13325599089169 5.33724413429624,-4.13344559223445 5.33723841869106,-4.13363523022513 5.33724265607438,-4.13382438521245 5.33725683452827,-4.13401253889991 5.33728091490217,-4.13419917576461 5.33731483092333,-4.13438378446815 5.33735848938144,-4.13456585925572 5.33741177038684,-4.13474490133973 5.33747452770156,-4.13492042026394 5.33754658914236,-4.1350919352447 5.33762775705452,-4.13525897648542 5.3377178088551,-4.13542108646084 5.33781649764423,-4.13557782116747 5.33792355288263,-4.13572875133699 5.33803868113362,-4.13587346360932 5.33816156686741,-4.13601156166186 5.33829187332569,-4.13614266729234 5.33842924344393,-4.13626642145196 5.33857330082905,-4.13638248522621 5.33872365078962,-4.13649054076064 5.33887988141598,-4.1365902921292 5.33904156470718,-4.13668146614262 5.3392082577417,-4.13676381309472 5.33937950388885,-4.13683710744477 5.33955483405747,-4.13690114843382 5.33973376797859,-4.1369557606335 5.33991581551854,-4.13700079442567 5.34010047801893,-4.13703612641186 5.34028724965996,-4.13706165975095 5.34047561884323,-4.1370773244247 5.34066506959038,-4.13708307743001 5.34085508295376,-4.13707890289745 5.34104513843532,-4.13706481213599 5.34123471540971,-4.13704084360336 5.34142329454806,-4.13700706280246 5.3416103592382,-4.13696356210397 5.34179539699772,-4.13691046049551 5.34197790087591,-4.13684790325828 5.34215737084084,-4.13677606157167 5.34233331514771,-4.13669513204731 5.34250525168482,-4.13660533619336 5.34267270929352,-4.1365069198109 5.3428352290584,-4.13640015232367 5.34299236556436,-4.13628532604325 5.343143688117,-4.13616275537153 5.34328878192306,-4.1360327759424 5.34342724922769,-4.13589574370547 5.3435587104053,-4.13575203395394 5.34368280500117,-4.13560204029905 5.34379919272085,-4.13544617359462 5.3439075543646,-4.13528486081365 5.34400759270441,-4.13511854388091 5.34409903330103,-4.13494767846394 5.34418162525879,-4.13477273272634 5.34425514191623,-4.1345941860463 5.34431938147046,-4.13441252770427 5.3443741675335,-4.13422825554292 5.34441934961923,-4.13404187460337 5.34445480355932,-4.13385389574132 5.34448043184724,-4.13366483422687 5.34449616390903,-4.13347520833179 5.34450195630041,-4.13328553790823 5.34449779282939,-4.13309634296286 5.34448368460409,-4.13290814222992 5.34445967000564,-4.13272145174777 5.34442581458613,-4.13253678344228 5.3443822108919,-4.13235464372121 5.34432897821262,-4.13217553208363 5.34426626225678,-4.13199993974781 5.34419423475448,-4.13182834830168 5.34411309298862,-4.13166122837961 5.34402305925566,-4.13149903836899 5.34392438025753,-4.13134222315009 5.34381732642622,-4.13119121287338 5.343702191183,-4.1310464217766 5.34357929013428,-4.13090824704597 5.34344896020616,-4.13077706772388 5.34331155872029,-4.13065324366651 5.34316746241344,-4.13053711455415 5.34301706640349,-4.13042899895714 5.34286078310458,-4.13032919345957 5.3426990410948,-4.13023797184379 5.34253228393897,-4.13015558433747 5.34236096897033,-4.13008225692571 5.34218556603404,-4.13001819072966 5.34200655619633))",MHNG_MHNG-MAM-1497.041,Phataginus tetradactyla,,Africa,Ivory Coast,75,VU,Arboreal,"0","0",,1.36,"13","0",0,0,0,0,-0.286024563014507,-0.286024563014507,-0.254439257085323,-0.254439257085323,0,0,0,0,-0.114226371049881,-0.12021479010582,-0.0869400501251221,-0.0869400501251221,0.108396723866463,0.101524382829666,0.0483797639608383,0.0483797639608383,-5.03536767837431e-10,2.11975414998733e-09,2.11975414998733e-09,2.11975414998733e-09,0.191625779960304,0.178662015125155,0.156460873782635,0.156460873782635
