WKT,RegistrationNumber,binomial,Year,Continent,Country,Certainty,redlist,ecology,duplicates,duplicates_year,Decade,Extent_km
"POINT (11.891349 -4.201945)",NHMUK_39.2645,Phataginus tricuspis,,Africa,Congo,75,EN,Arboreal,"0","0",,101.46
"POINT (9.299771 5.466773)",NHMUK_39.2647,Phataginus tetradactyla,,Africa,Cameroon,50,VU,Arboreal,"0","0",,3.82
"POINT (108.550401 -6.731546)",NHMUK_39.2648,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"0","0",1920,7.23
"POINT (108.550401 -6.731546)",NHMUK_39.265,Manis javanica,,Asia,Indonesia,25,CR,Arboreal,"1","0",,7.23
"POINT (108.550401 -6.731546)",NHMUK_39.2651,Manis javanica,1929,Asia,Indonesia,25,CR,Arboreal,"1","1",1920,7.23
"POINT (116.31783 -8.644978)",NHMUK_39.2652,Manis javanica,,Asia,Indonesia,100,CR,Arboreal,"0","0",,54.22
"POINT (-1.312712 14.492996)",NHMUK_39.4041,Phataginus tetradactyla,,Africa,W. Africa,100,VU,Arboreal,"0","0",,1955.82
"POINT (103.891767 36.519977)",NHMUK_39.4048,Manis pentadactyla,,Asia,China,100,CR,Terrestrial,"0","0",,2824.1
"POINT (-0.983333 5.916667)",NHMUK_46.498,Phataginus tetradactyla,1945,Africa,Ghana,75,VU,Arboreal,"0","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.499,Phataginus tricuspis,1945,Africa,Ghana,75,EN,Arboreal,"0","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.5,Phataginus tricuspis,1865,Africa,Ghana,75,EN,Arboreal,"1","0",1860,2.25
"POINT (-11.978516 8.9518)",NHMUK_46.888,Phataginus tricuspis,1945,Africa,Sierra Leone,25,EN,Arboreal,"0","0",1940,0.892
"POINT (-0.983333 5.916667)",NHMUK_46.914,Phataginus tricuspis,,Africa,Ghana,75,EN,Arboreal,"1","0",,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.915,Phataginus tricuspis,1946,Africa,Ghana,75,EN,Arboreal,"1","0",1940,2.25
"POINT (-0.983333 5.916667)",NHMUK_46.916,Phataginus tricuspis,1946,Africa,Ghana,75,EN,Arboreal,"1","1",1940,2.25
"POINT (92.627435 26.519279)",NHMUK_47.326,Manis pentadactyla,1940,Asia,India,75,CR,Terrestrial,"0","0",1940,92.64
"POINT (9.388466 5.700156)",NHMUK_48.132,Phataginus tricuspis,1932,Africa,Cameroon,50,EN,Arboreal,"0","0",1930,5
"POINT (9.31436 5.751216)",NHMUK_48.1321,Phataginus tricuspis,1932,Africa,Cameroon,25,EN,Arboreal,"0","0",1930,2.02
